iter	RMSE
0	7266.835241
1	6844.644177
2	6495.699526
3	6151.897498
4	5805.421372
5	5422.608248
6	5135.671054
7	4914.857809
8	4680.645373
9	4441.577718
10	4241.900313
11	4062.910874
12	3910.844083
13	3752.447251
14	3549.833366
15	3418.098646
16	3289.502733
17	3147.891327
18	3012.858745
19	2905.444167
20	2805.437171
21	2723.625192
22	2638.609963
23	2543.632745
24	2467.180444
25	2400.216256
26	2336.217851
27	2288.106976
28	2225.805215
29	2164.56894
30	2110.160705
31	2069.936577
32	2023.720863
33	1987.249882
34	1941.927005
35	1899.109284
36	1859.978474
37	1822.822265
38	1795.166779
39	1765.541102
40	1740.35089
41	1714.165609
42	1674.832748
43	1658.052322
44	1629.861933
45	1611.806653
46	1591.486672
47	1569.461969
48	1544.344182
49	1526.428087
50	1513.456239
51	1487.238154
52	1469.124486
53	1451.841668
54	1433.181655
55	1414.872089
56	1399.210553
57	1383.167755
58	1368.278939
59	1344.681982
60	1326.290754
61	1309.954867
62	1295.262739
63	1278.079737
64	1266.655381
65	1257.022647
66	1247.95791
67	1221.661929
68	1200.05891
69	1187.620008
70	1175.312946
71	1165.79885
72	1143.228399
73	1135.105245
74	1111.442057
75	1105.445834
76	1100.011042
77	1090.966259
78	1079.711567
79	1074.440406
80	1069.683098
81	1057.496863
82	1052.52215
83	1044.921696
84	1029.648053
85	1025.452614
86	1010.143189
87	996.5625444
88	988.148381
89	984.561496
90	973.7923768
91	963.5862365
92	958.8736861
93	955.7207479
94	952.0623838
95	949.1818726
96	946.3496978
97	939.8324095
98	934.1513565
99	929.7541528
