iter	Passed	Remaining
0	3	349
1	7	391
2	12	419
3	17	413
4	21	410
5	26	410
6	29	387
7	33	387
8	37	379
9	42	379
10	47	380
11	51	374
12	54	362
13	56	349
14	60	341
15	64	339
16	67	329
17	70	322
18	74	316
19	77	308
20	79	297
21	82	293
22	86	288
23	89	282
24	91	275
25	94	269
26	97	264
27	100	258
28	104	256
29	108	252
30	112	249
31	114	244
32	118	240
33	121	236
34	125	232
35	130	232
36	136	232
37	140	229
38	145	227
39	148	222
40	152	218
41	155	214
42	159	212
43	163	207
44	169	207
45	173	203
46	176	199
47	182	198
48	187	195
49	191	191
50	196	189
51	201	185
52	206	183
53	212	180
54	218	178
55	224	176
56	232	175
57	240	174
58	247	172
59	253	169
60	259	165
61	266	163
62	275	161
63	279	157
64	283	152
65	288	148
66	292	143
67	295	139
68	299	134
69	302	129
70	308	125
71	313	121
72	316	117
73	319	112
74	323	107
75	329	104
76	335	100
77	340	96
78	343	91
79	349	87
80	353	82
81	357	78
82	361	74
83	365	69
84	368	64
85	370	60
86	375	56
87	379	51
88	383	47
89	386	42
90	391	38
91	397	34
92	402	30
93	406	25
94	409	21
95	412	17
96	415	12
97	419	8
98	422	4
99	425	0
